"id","authorlist","title"
"UF27","Trevor Moore, Cameron Divoky, Aithne Loeblich, Colleen Hatfield, Shahroukh Mistry","Acoustic Analysis of Bat Echolocation Calls: Species Diversity and Seasonal Migratory Patterns"
"UF28","Sara Lewis, Dr. Christopher J. Nichols","Progress towards the synthesis of guignardianone E"
"UF29","Vivien L. Cherrette and Dr. Monica C. So","Effects of Solvent Treatment on Morphology of Methylammonium Lead Iodide (MAPbI3) Perovskite Thin Films"
"UF30","Dan Hiney, Kristen Kaczynski","Estimating the Wild Trout Population in the Grass Valley Creek Reservoir"
"UF31","Cynthia Banales","Trend distribution of annual and seasonal rainfall during 2017 Rain Year and Past Winter Droughts in Chico, California"
"UF32","Ann Bykerk-Kauffman, Ryan Beane, David Brown, Chad Dodge, James Matthews, Angelica Rodriguez","Geologic mapping in the central Coyote Mountains, California"
"UF33","Alexandra Smith, Kristen Kaczynski, Michael Rogner","Monitoring native forb restoration at a Sacramento River gravel bar site: Improving methods for the future"
"UF34","Ricardo Aguilar, Nicholas Eisemann, Aaron Shaffer","Detecting Shots in a Basketball Game from Motion Tracking Data"
"UF35","Matthew McDonald, Dr. Daniel Edwards, Dr. Carolynn Arpin","Investigation of a Displacement Assay For Drug Design"
"UF36","Kirstie B. Steiner, Malory O. Brown, Sandra Martell, Betsey Tamietti, 2016 Microbial Genetics Class (BIOL 472), Emily J. Fleming Nuester","Meddling with microbial tubes: sheath production by Leptothrix cholodnii SP-6"
"UF37","Dawn Clifford, Mayra Diaz, Caitlyn Seymour","HAES Curriculum"
"UF38","Jimmy Monge, Kristen Kaczynski","Native vs. non-native riparian inputs to California stream communities: a comparative leaf decomposition analysis"
"UF39","Alberto Garrido, Rachel Teasdale, Jennifer M. Wenner","Textures and compositions of olivine and plagioclase in primitive basalts of the Poison Lake chain in the Lassen Region of the southern Cascades"
"UF40","Jonathan Miller","Considering MMNA graphs of connectivity kappa=5"
"UF41","Sophia E Phillips, Charles G Brooke, Emily J Fleming Nuester","Determining the Relationship Between Biological Iron Oxidation and Mercury Mobility"
"UF42","Kirk Williams, Tori Goff, Eric Ayars","Quadcopter yaw: conservation of angular momentum or atmospheric drag?"
"UF43","Joshua Gladfelder, Dr. Carolynn Arpin","Synthesis of GRB2 SH2 Domain Inhibitors: Analogues of Sclerotiorin"
"S1","Jamie Quinn, Kalyn Finch","Mothers Stroll"
"S2","Alyssa Mandel, Paul Herrick","Examining the effectiveness of nutrition and physical activity education on adolescents"
"S3","Keri Fong, Kristen Gularte, Jessica Kassel","Blood Drive in Memory of Kristina Chesterman"
"S4","Ryan Beane, Jocelyn Bermudez, David Brown, Chad Dodge, Danny Fields, Nichole Hadler-Marsden, Julian Hopper, Evan Mason, James Matthews, Ryan O'Sullivan, Angelica Rodriguez, Matthew Suttles, Sarah Torkelson, Hannah Aird","A field and petrographic interpretation of the emplacement of the Bald Rock Pluton (BRP), northern Sierra Nevada"
"S5","Anh Ma, Adriana Ayala, Dicha Perez","Dynamic Uno to Dynamic Duos"
"S7","Natalie Wren","Disaster Health Services"
"S8","Miguel Puentes, McKenna Bourland","Wash Your Hands: The Do It Yourself Vaccine!"
"S9","Nick McConnell, Travis Bybee, Jen Culver, Kevin Carlson","Productive Problem Solving"
"S10","Joseph Levine, Zach Minneker, Blake Northam, Bryce Channel","Do Study Groups and Social Interactions Affect Student Growth?"
"S11","Robin Kropholler, Moriah Edwards, Daniel Lomeli, Brittany Munoz, Andrea Partida-Miranda","Addressing Misconceptions in Science: The Role of GE Biology"
"S12","Drew Fisher, Haylee Vowles, Marissa Indgjer","Girls on the Run"
"S13","Dr. David Brookes, Jessica Burris, Kelsey Haigh, Miriam Ibarra, Sofia Rodriguez,","Your Locus of Control is Showing"
"S14","Amber Theresa Adams, Allison Nelson","Building a Bridge- Sexual Assault and the Campus Community"
"S15","Will Mixter, Jared Sweatmen, Cameron Sorensen, Daniel Wells","Characterization of a High Power Laser Beam"
"S16","Rodney Worthington, Ricardo Aguilar, Kaitlyn Huntley","Road to Success in Mathematics"
"S17","Dinesh Khalasi, Elizabeth Freitas, Tanner Talon","Investigation of Retention Improvement through Interactive Learning"
"S18","Katherine Williams","An Investigation of the Relationship Between Food Cravings and Pre-biotic and Pro-biotic Intake Among College Students"
"S19","Linda Vue, Catherine Bailey","Torres Shelter Men's Health Promotion"
"S20","Lilli Consiglio, Nicole Riner","Fairview High School's Young Mothers Program"
"S21","Taylor Walker, Marissa McCready","Nursing Students Walk for Awareness"
"S22","Courtney Rhodes, Josh McAtee","Protein: The Devil's in the Details"
"S23","Tristin Brownlee, Ellie Haydock, Susan Reed","Vets Helping Vets"
"S24","Austin Rossi, Bryce Channel, Faisal Shaikh","Holography"
"S25","Austin Pollard, April Nuestro","Waving Goodbye to Our Physics Problems"
"S26","Stephanie Watson","Examining the Effectiveness of Daily Social Interaction and Activity Among the Elderly"
"S27","Madalina Ciurea, Silvia Diaz","Healthy Lifestyle"
"S28","Patrick Hartrum, Haley Howeson, Emilia Spittler","Four Winds After School Program"
"S29","Justin Casas, Stefani Aston","Speak Your Mind: Silence the Stigma"
"S30","Jonathan Petersen","Assessing the need for HIV Pre-exposre Prophylaxis (PrEP) education in the Chico Community."
"S32","Tori Goff, Kyle Riemenschnitter, Jared Sweatman","Ulterior Motives: The Dark Energy that Fuels Student Learning"
"S33","Shannon Watson, Julie Wilson","Every Woman Counts"
"S34","Tara Rowland, Danielle Marks","Chico State Hungry Wildcat Pantry"
"S35","Stacie Dempsey","A Look at Tehama County's Knowledge of Sexually Transmitted Infections"
